seasonIDs,roundNums,seriesLetters,seriesLinks,bottomSeedIDs,bottomSeedWins,topSeedIDs,topSeedWins
19721973,2,I,/schedule/playoff-series/1973/series-i/flyers-vs-canadiens,4,1,8,4
19721973,2,J,/schedule/playoff-series/1973/series-j/rangers-vs-blackhawks,3,1,16,4
19721973,3,M,/schedule/playoff-series/1973/series-m/blackhawks-vs-canadiens,16,2,8,4
19731974,1,A,/schedule/playoff-series/1974/series-a/mapleleafs-vs-bruins,10,0,6,4
19731974,1,B,/schedule/playoff-series/1974/series-b/rangers-vs-canadiens,3,4,8,2
19731974,1,C,/schedule/playoff-series/1974/series-c/flames-vs-flyers,47,0,4,4
19731974,1,D,/schedule/playoff-series/1974/series-d/kings-vs-blackhawks,26,1,16,4
19731974,2,I,/schedule/playoff-series/1974/series-i/blackhawks-vs-bruins,16,2,6,4
19731974,2,J,/schedule/playoff-series/1974/series-j/rangers-vs-flyers,3,3,4,4
19731974,3,M,/schedule/playoff-series/1974/series-m/flyers-vs-bruins,4,4,6,2
19741975,1,A,/schedule/playoff-series/1975/series-a/mapleleafs-vs-kings,10,2,26,1
19741975,1,B,/schedule/playoff-series/1975/series-b/blackhawks-vs-bruins,16,2,6,1
19741975,1,C,/schedule/playoff-series/1975/series-c/blues-vs-penguins,19,0,5,2
19741975,1,D,/schedule/playoff-series/1975/series-d/islanders-vs-rangers,2,2,3,1
19741975,2,I,/schedule/playoff-series/1975/series-i/mapleleafs-vs-flyers,10,0,4,4
19741975,2,J,/schedule/playoff-series/1975/series-j/blackhawks-vs-sabres,16,1,7,4
19741975,2,K,/schedule/playoff-series/1975/series-k/canucks-vs-canadiens,23,1,8,4
19741975,2,L,/schedule/playoff-series/1975/series-l/islanders-vs-penguins,2,4,5,3
19741975,3,M,/schedule/playoff-series/1975/series-m/islanders-vs-flyers,2,3,4,4
19741975,3,N,/schedule/playoff-series/1975/series-n/canadiens-vs-sabres,8,2,7,4
19741975,4,O,/schedule/playoff-series/1975/series-o/sabres-vs-flyers,7,2,4,4
19751976,1,A,/schedule/playoff-series/1976/series-a/sabres-vs-blues,7,2,19,1
19751976,1,B,/schedule/playoff-series/1976/series-b/canucks-vs-islanders,23,0,2,2
19751976,1,C,/schedule/playoff-series/1976/series-c/flames-vs-kings,47,0,26,2
19751976,1,D,/schedule/playoff-series/1976/series-d/penguins-vs-mapleleafs,5,1,10,2
19751976,2,I,/schedule/playoff-series/1976/series-i/blackhawks-vs-canadiens,16,0,8,4
19751976,2,J,/schedule/playoff-series/1976/series-j/mapleleafs-vs-flyers,10,3,4,4
19751976,2,K,/schedule/playoff-series/1976/series-k/kings-vs-bruins,26,3,6,4
19751976,2,L,/schedule/playoff-series/1976/series-l/islanders-vs-sabres,2,4,7,2
19751976,3,M,/schedule/playoff-series/1976/series-m/islanders-vs-canadiens,2,1,8,4
19751976,3,N,/schedule/playoff-series/1976/series-n/bruins-vs-flyers,6,1,4,4
19751976,4,O,/schedule/playoff-series/1976/series-o/flyers-vs-canadiens,4,0,8,4
19761977,1,A,/schedule/playoff-series/1977/series-a/blackhawks-vs-islanders,16,0,2,2
19761977,1,B,/schedule/playoff-series/1977/series-b/northstars-vs-sabres,31,0,7,2
19761977,1,C,/schedule/playoff-series/1977/series-c/flames-vs-kings,47,1,26,2
19761977,1,D,/schedule/playoff-series/1977/series-d/mapleleafs-vs-penguins,10,2,5,1
19761977,2,I,/schedule/playoff-series/1977/series-i/blues-vs-canadiens,19,0,8,4
19761977,2,J,/schedule/playoff-series/1977/series-j/mapleleafs-vs-flyers,10,2,4,4
19761977,2,K,/schedule/playoff-series/1977/series-k/kings-vs-bruins,26,2,6,4
19761977,2,L,/schedule/playoff-series/1977/series-l/sabres-vs-islanders,7,0,2,4
19761977,3,M,/schedule/playoff-series/1977/series-m/islanders-vs-canadiens,2,2,8,4
19761977,3,N,/schedule/playoff-series/1977/series-n/bruins-vs-flyers,6,4,4,0
19761977,4,O,/schedule/playoff-series/1977/series-o/bruins-vs-canadiens,6,0,8,4
19771978,1,A,/schedule/playoff-series/1978/series-a/rockies-vs-flyers,35,0,4,2
19771978,1,B,/schedule/playoff-series/1978/series-b/rangers-vs-sabres,3,1,7,2
19771978,1,C,/schedule/playoff-series/1978/series-c/kings-vs-mapleleafs,26,0,10,2
19771978,1,D,/schedule/playoff-series/1978/series-d/redwings-vs-flames,17,2,47,0
19771978,2,I,/schedule/playoff-series/1978/series-i/redwings-vs-canadiens,17,1,8,4
19771978,2,J,/schedule/playoff-series/1978/series-j/blackhawks-vs-bruins,16,0,6,4
19771978,2,K,/schedule/playoff-series/1978/series-k/mapleleafs-vs-islanders,10,4,2,3
19771978,2,L,/schedule/playoff-series/1978/series-l/sabres-vs-flyers,7,1,4,4
19771978,3,M,/schedule/playoff-series/1978/series-m/mapleleafs-vs-canadiens,10,0,8,4
19771978,3,N,/schedule/playoff-series/1978/series-n/flyers-vs-bruins,4,1,6,4
19771978,4,O,/schedule/playoff-series/1978/series-o/bruins-vs-canadiens,6,2,8,4
19781979,1,A,/schedule/playoff-series/1979/series-a/canucks-vs-flyers,23,1,4,2
19781979,1,B,/schedule/playoff-series/1979/series-b/kings-vs-rangers,26,0,3,2
19781979,1,C,/schedule/playoff-series/1979/series-c/mapleleafs-vs-flames,10,2,47,0
19781979,1,D,/schedule/playoff-series/1979/series-d/penguins-vs-sabres,5,2,7,1
19781979,2,I,/schedule/playoff-series/1979/series-i/blackhawks-vs-islanders,16,0,2,4
