Date,Team,Player,Transaction Details
"Jan 28, 2025",Vegas Golden Knights,Tanner Laczynski,Assigned to AHL
"Jan 28, 2025",Vegas Golden Knights,Alexander Holtz,Assigned to AHL
"Jan 28, 2025",Seattle Kraken,John Hayden,Assigned to AHL
"Jan 28, 2025",Vegas Golden Knights,Raphael Lavoie,Recalled from AHL
"Jan 28, 2025",Vegas Golden Knights,Jonas Rondbjerg,Recalled from AHL
"Jan 28, 2025",Vancouver Canucks,Aatu Raty,Recalled from AHL
"Jan 28, 2025",Buffalo Sabres,Nicolas Aube-Kubel,Assigned to AHL
"Jan 28, 2025",Buffalo Sabres,Tyson Kozak,Recalled from AHL
"Jan 28, 2025",Minnesota Wild,Kirill Kaprizov,Placed on IR
"Jan 28, 2025",Minnesota Wild,Jonas Brodin,Placed on LTIR
"Jan 28, 2025",Utah Hockey Club,Milos Kelemen,Placed on Waivers
"Jan 28, 2025",St. Louis Blues,Marcus Sylvegard,Placed on Waivers
"Jan 28, 2025",St. Louis Blues,Brandon Saad,Placed on Waivers
"Jan 28, 2025",Ottawa Senators,Cole Reinhardt,Placed on Waivers
"Jan 28, 2025",Buffalo Sabres,Nicolas Aube-Kubel,Cleared Waivers
"Jan 28, 2025",Calgary Flames,Adam Klapka,Recalled from AHL
"Jan 28, 2025",Calgary Flames,Tyson Barrie,Recalled from AHL
"Jan 28, 2025",Nashville Predators,Kieffer Bellows,Assigned to AHL
"Jan 28, 2025",Nashville Predators,Kevin Gravel,Recalled from AHL
"Jan 28, 2025",Winnipeg Jets,Brad Lambert,Recalled from AHL
"Jan 28, 2025",Tampa Bay Lightning,Declan Carlile,Recalled from AHL
"Jan 28, 2025",Tampa Bay Lightning,Gage Goncalves,Recalled from AHL
"Jan 27, 2025",Vegas Golden Knights,Jonas Rondbjerg,Assigned to AHL
"Jan 27, 2025",Detroit Red Wings,Dominik Shine,Recalled from AHL
"Jan 27, 2025",Detroit Red Wings,Dominik Shine,Signed 2 years @ $775K AAV starting in 2024-25
"Jan 27, 2025",Washington Capitals,Logan Thompson,Signed 6 years @ $5.850M AAV starting in 2025-26
"Jan 27, 2025",Detroit Red Wings,Marco Kasper,Recalled from AHL
"Jan 27, 2025",Detroit Red Wings,William Lagesson,Recalled from AHL
"Jan 27, 2025",Detroit Red Wings,Elmer Soderblom,Recalled from AHL
"Jan 27, 2025",Boston Bruins,Max Jones,Recalled from AHL
"Jan 27, 2025",Boston Bruins,Matthew Poitras,Recalled from AHL
"Jan 27, 2025",Pittsburgh Penguins,Jesse Puljujarvi,Recalled from AHL
"Jan 27, 2025",Vancouver Canucks,Mark Friedman,Assigned to AHL
"Jan 27, 2025",New York Islanders,Scott Perunovich,Acquired from St. Louis Blues
"Jan 27, 2025",St. Louis Blues,Scott Perunovich,Traded to New York Islanders
"Jan 27, 2025",Buffalo Sabres,Nicolas Aube-Kubel,Placed on Waivers
"Jan 27, 2025",New York Islanders,Jakub Skarek,Recalled from AHL
"Jan 27, 2025",Calgary Flames,Rory Kerins,Assigned to AHL
"Jan 26, 2025",Vegas Golden Knights,Jonas Rondbjerg,Recalled from AHL
"Jan 26, 2025",Vegas Golden Knights,Alexander Holtz,Recalled from AHL
"Jan 26, 2025",Detroit Red Wings,Marco Kasper,Assigned to AHL
"Jan 26, 2025",Detroit Red Wings,William Lagesson,Assigned to AHL
"Jan 26, 2025",Detroit Red Wings,Elmer Soderblom,Assigned to AHL
"Jan 26, 2025",Boston Bruins,Max Jones,Assigned to AHL
"Jan 26, 2025",Boston Bruins,Matthew Poitras,Assigned to AHL
"Jan 26, 2025",Edmonton Oilers,Connor McDavid,Suspension Ended
"Jan 26, 2025",Vancouver Canucks,Tyler Myers,Suspension Ended
"Jan 26, 2025",Carolina Hurricanes,Tyson Jost,Placed on LTIR
"Jan 26, 2025",San Jose Sharks,Jack Thompson,Recalled from AHL
"Jan 26, 2025",Nashville Predators,Spencer Stastney,Assigned to AHL
"Jan 26, 2025",Florida Panthers,Tobias Bjornfot,Assigned to AHL
"Jan 26, 2025",Dallas Stars,Matěj  Blümel,Assigned to AHL
