seasonID,playerID,seasonType,statCategory,statValue
19431944,8449823,2,wins,13.0
19431944,8450007,2,wins,12.0
19431944,8449823,2,shutouts,5.0
19431944,8450007,2,shutouts,3.0
19431944,8449910,2,shutouts,2.0
19431944,8449923,2,shutouts,1.0
19431944,8449896,2,shutouts,1.0
19431944,8449910,2,goalsAgainstAverage,2.18
19431944,8449823,2,goalsAgainstAverage,3.0
19431944,8450007,2,goalsAgainstAverage,3.038462
19431944,8449896,2,goalsAgainstAverage,3.076923
19431944,8449923,2,goalsAgainstAverage,4.166667
19431944,8449910,3,wins,8.0
19431944,8450007,3,wins,4.0
19431944,8449823,3,wins,1.0
19431944,8449896,3,wins,1.0
19431944,8449910,3,shutouts,1.0
19431944,8450007,3,shutouts,1.0
19431944,8449910,3,goalsAgainstAverage,1.529497
19431944,8450007,3,goalsAgainstAverage,2.621996
19431944,8449896,3,goalsAgainstAverage,3.4
19431944,8449823,3,goalsAgainstAverage,4.6
19441945,8449910,2,wins,38.0
19441945,8450029,2,wins,24.0
19441945,8450019,2,wins,24.0
19441945,8450007,2,wins,12.0
19441945,8450027,2,wins,11.0
19441945,8450007,2,shutouts,4.0
19441945,8450029,2,shutouts,4.0
19441945,8450019,2,shutouts,1.0
19441945,8450027,2,shutouts,1.0
19441945,8449910,2,shutouts,1.0
19441945,8449910,2,goalsAgainstAverage,2.42
19441945,8450019,2,goalsAgainstAverage,3.216216
